id,detail_url,original_location,title,address_raw,address_normalized,street,ward,district_detail,province_detail,address_source,validation_status,address_category,crawl_status,crawl_error
185833,https://batdongsan.vn/nha-dep-moi-xay-an-duong-vuong-p-an-lac-dt-52m2-2-lau-4pn-5wc-thang-may-gia-88-ty-r185833,"Bình Tân, Hồ Chí Minh","Nhà đẹp mới xây // An Dương Vương, p An Lạc dt 52m2 2 lầu 4pn 5wc , thang máy giá 8,8 tỷ","Nhà đẹp mới xây // An Dương Vương, p An Lạc dt 52m2 2 lầu 4pn 5wc , thang máy giá 8,8 tỷ","Nhà đẹp mới xây // An Dương Vương, p An Lạc dt 52m2 2 lầu 4pn 5wc , thang máy giá 8,8 tỷ",,,Bình Tân,Hồ Chí Minh,title,consistent,unclear,success,
110150,https://batdongsan.vn/tan-thoi-nhat-q12-ngang-7m-dai-97m-39-ty-2-tang-r280344,"Quận 12, Hồ Chí Minh","TÂN THỚI NHẤT – Q12 – NGANG 7m – DÀI 9,7m – 3,9 TỶ- 2 TẦNG","TÂN THỚI NHẤT – Q12 – NGANG 7m – DÀI 9,7m – 3,9 TỶ- 2 TẦNG","TÂN THỚI NHẤT – Q12 – NGANG 7m – DÀI 9,7m – 3,9 TỶ- 2 TẦNG",Tân Thới Nhất,,Quận 12,Hồ Chí Minh,title,consistent,street_only,success,
88759,https://batdongsan.vn/nha-6-tang-thiet-ke-penhouse-thang-may-mat-tien-kinh-doanh-tan-thoi-nhat-q-12-chi-18-ty-8-r258929,"Quận 12, Hồ Chí Minh",Nhà 6 tầng thiết kế Penhouse-Thang máy-Mặt tiền Kinh Doanh-Tân Thới Nhất-Q. 12-Chỉ 18 tỷ 8,Mặt tiền Kinh Doanh-Tân Thới Nhất-Q. 12-Chỉ 18 tỷ 8,Mặt tiền Kinh Doanh-Tân Thới Nhất-Quận 12-Chỉ 18 tỷ 8,Mặt Tiền Kinh Doanh,,Q. 12,Hồ Chí Minh,title,consistent,street_only,success,
112267,https://batdongsan.vn/ban-nha-go-vap-vi-tri-kinh-doanh-qt-phuong-11-96m2-3-tang-chi-10-ty-r282461,"Gò Vấp, Hồ Chí Minh","Bán nhà Gò Vấp, vị trí kinh doanh QT Phường 11, 96m2, 3 tầng chỉ 10 tỷ","sát chợ Hạnh Thông Tây, gần trường học các cấp, bênh viện, Ủy ban, các dịch vụ tiện ích khác","sát chợ Hạnh Thông Tây, gần trường học các cấp, bênh viện, Ủy ban, các dịch vụ tiện ích khác",,Phường 11,Gò Vấp,Hồ Chí Minh,dedicated_address,consistent,landmark_only,success,
156213,https://batdongsan.vn/ban-nha-83m2-mat-tien-hoang-xuan-hoanh-12m-q-tan-phu-79-ty-r156213,"Tân Phú, Hồ Chí Minh","Bán Nhà 83m² Mặt tiền Hoàng Xuân Hoành 12m, Q. Tân Phú, 7.9 tỷ","Hoàng Xuân Hoành, Phường Hiệp Tân, Quận Tân Phú","Hoàng Xuân Hoành, Phường Hiệp Tân, Quận Tân Phú",Mặt Tiền Hoàng Xuân Hoành 12M,Phường Hiệp Tân,Q. Tân Phú,Hồ Chí Minh,dedicated_address,consistent,street_and_ward,success,
103192,https://batdongsan.vn/chinh-chu-ban-lo-dat-224m2-560tr-tai-giong-cat-tan-phu-trung-cu-chi-r273384,"Củ Chi, Hồ Chí Minh","CHÍNH CHỦ BÁN LỖ ĐẤT 224m2 560tr TẠI GIỒNG CÁT , TÂN PHÚ TRUNG , CỦ CHI","CHÍNH CHỦ BÁN LỖ ĐẤT 224m2 560tr TẠI GIỒNG CÁT , TÂN PHÚ TRUNG , CỦ CHI","CHÍNH CHỦ BÁN LỖ ĐẤT 224m2 560tr TẠI GIỒNG CÁT , TÂN PHÚ TRUNG , CỦ CHI",Tại Giồng Cát,,Củ Chi,Hồ Chí Minh,title,consistent,street_only,success,
85814,https://batdongsan.vn/ket-tien-ban-gap-no-trang-long-p7-binh-thanh-40m2-r255982,"Bình Thạnh, Hồ Chí Minh",Kẹt tiền bán gấp – Nơ Trang Long – P7 – Bình Thạnh – 40m2,Kẹt tiền bán gấp – Nơ Trang Long – P7 – Bình Thạnh – 40m2,Kẹt tiền bán gấp – Nơ Trang Long – P7 – Bình Thạnh – 40m2,,,Bình Thạnh,Hồ Chí Minh,title,consistent,unclear,success,
121966,https://batdongsan.vn/hiem-hot-tan-binh-tran-van-quang-25m2-3-tang-giam-con-255-ty-r121966,"Tân Bình, Hồ Chí Minh",HIẾM - HOT - TÂN BÌNH- TRẦN VĂN QUANG- 25M2- 3 TẦNG- GIẢM CÒN 2.55 TỶ,HIẾM - HOT - TÂN BÌNH- TRẦN VĂN QUANG- 25M2- 3 TẦNG- GIẢM CÒN 2.55 TỶ,HIẾM - HOT - TÂN BÌNH- TRẦN VĂN QUANG- 25M2- 3 TẦNG- GIẢM CÒN 2.55 TỶ,Tân Bình- Trần Văn Quang- 25M2-,,Tân Bình,Hồ Chí Minh,title,consistent,street_only,success,
162863,https://batdongsan.vn/ban-nha-mat-tien-kinh-doanh-duong-ta-quang-buu-sat-ben-xe-quan-8-gia-chi-nhinh-10-ty-goi-r162863,"Quận 8, Hồ Chí Minh",BÁN NHÀ MẶT TIỀN KINH DOANH ĐƯỜNG TẠ QUANG BỬU – SÁT BẾN XE QUẬN 8 – GIÁ CHỈ NHỈNH 10 TỶ. GỌI,MẶT TIỀN KINH DOANH ĐƯỜNG TẠ QUANG BỬU – SÁT BẾN XE QUẬN 8 – GIÁ CHỈ NHỈNH 10 TỶ. GỌI,MẶT TIỀN KINH DOANH ĐƯỜNG TẠ QUANG BỬU – SÁT BẾN XE QUẬN 8 – GIÁ CHỈ NHỈNH 10 TỶ. GỌI,Sát Bến Xe Quận,,Quận 8,Hồ Chí Minh,title,consistent,street_only,success,
170691,https://batdongsan.vn/chi-1-ty-hon-binh-thanh-hem-8m-so-hong-rieng-r170691,"Bình Thạnh, Hồ Chí Minh",CHỈ 1 TỶ HƠN - BÌNH THẠNH - HẺM 8M - SỔ HỒNG RIÊNG 🥹,HẺM 8M - SỔ HỒNG RIÊNG 🥹,HẺM 8M - SỔ HỒNG RIÊNG 🥹,Hẻm 8M,,Bình Thạnh,Hồ Chí Minh,title,consistent,alley_or_lane,success,
152333,https://batdongsan.vn/ban-nha-70m2-3-tang-5pn-4wc-q9-66-ty-so-hong-r152333,"Quận 9, Hồ Chí Minh","Bán nhà 70m2, 3 tầng, 5PN, 4WC, Q.9, 6.6 tỷ, sổ hồng","Bán nhà 70m2, 3 tầng, 5PN, 4WC, Q.9, 6.6 tỷ, sổ hồng","Bán nhà 70m2, 3 tầng, 5PN, 4WC, Quận 9, 6.6 tỷ, sổ hồng","5Pn, 4Wc, Q.9,",,Quận 9,Hồ Chí Minh,title,consistent,street_only,success,
122678,https://batdongsan.vn/cho-thue-nha-dep-khu-ban-co-le-dai-hanh-kinh-doanh-khu-vuc-phuoc-tan-nha-trang-r122678,"Quận 1, Hồ Chí Minh",CHO THUÊ NHÀ ĐẸP KHU BÀN CỜ LÊ ĐẠI HÀNH KINH DOANH KHU VỰC PHƯỚC TÂN NHA TRANG,CHO THUÊ NHÀ ĐẸP KHU BÀN CỜ LÊ ĐẠI HÀNH KINH DOANH KHU VỰC PHƯỚC TÂN NHA TRANG,CHO THUÊ NHÀ ĐẸP KHU BÀN CỜ LÊ ĐẠI HÀNH KINH DOANH KHU VỰC PHƯỚC TÂN NHA TRANG,Cho Thuê Nhà Đẹp Khu Bàn Cờ Lê Đại Hành Kinh Doanh Khu Vực Phước Tân Nha Trang,,Quận 1,Hồ Chí Minh,title,consistent,street_only,success,
130425,https://batdongsan.vn/ban-nha-mat-tien-1-tret-1-lung-3-lau-4x20m-gia-849-ty-duong-tran-thi-he-r130425,"Quận 12, Hồ Chí Minh","Bán nhà mặt tiền 1 trệt 1 lửng 3 lầu 4x20m giá 8,49 tỷ Đường Trần Thị Hè",mặt tiền 1 trệt 1 lửng 3 lầu 4x20m giá 8,mặt tiền 1 trệt 1 lửng 3 lầu 4x20m giá 8,,,Quận 12,Hồ Chí Minh,title,consistent,unclear,success,
173519,https://batdongsan.vn/p15-tan-binh-khu-dong-bo-dan-tri-62m2-4x155-5tang-4pn-hxt-8m-chi-71-ty-r173519,"Tân Bình, Hồ Chí Minh",🏚️ P.15 TÂN BÌNH - KHU ĐỒNG BỘ - DÂN TRÍ - 62m² ( 4x15.5 ) 5TẦNG - 4PN - HXT 8M - CHỈ 7.1 TỶ,"sát mặt đường, gần chợ Tân Trụ, đường Nguyễn Sỹ Sách, Trường Chinh","sát mặt đường, gần chợ Tân Trụ, đường Nguyễn Sỹ Sách, Trường Chinh",Đường Nguyễn Sỹ Sách,,Tân Bình,Hồ Chí Minh,dedicated_address,consistent,street_only,success,
191294,https://batdongsan.vn/nha-dep-gia-cuc-re-p-trung-my-tay-q12-tret-lau-dep-moi-phap-ly-chuan-chinh-r191294,"Quận 12, Hồ Chí Minh","NHÀ ĐẸP GIÁ CỰC RẺ P. TRUNG MỸ TÂY, Q12 – TRỆT LẦU ĐẸP MỚI – PHÁP LÝ CHUẨN CHỈNH!","NHÀ ĐẸP GIÁ CỰC RẺ P. TRUNG MỸ TÂY, Q12 – TRỆT LẦU ĐẸP MỚI – PHÁP LÝ CHUẨN CHỈNH!","NHÀ ĐẸP GIÁ CỰC RẺ Phường TRUNG MỸ TÂY, Q12 – TRỆT LẦU ĐẸP MỚI – PHÁP LÝ CHUẨN CHỈNH!",Nhà Đẹp Giá Cực Rẻ,P. Trung Mỹ Tây,Quận 12,Hồ Chí Minh,title,consistent,street_and_ward,success,
146576,https://batdongsan.vn/sieu-pham-bau-cat-hem-xe-hoi-50m-ra-mat-tien-47m2-4-tang-full-noi-that-gia-chi-58-ty-r146576,"Tân Bình, Hồ Chí Minh","SIÊU PHẨM BÀU CÁT, HẺM XE HƠI 50M RA MẶT TIỀN, 47M2, 4 TẦNG FULL NỘI THẤT GIÁ CHỈ 5.8 TỶ",HẺM XE HƠI 50M RA MẶT TIỀN,HẺM XE HƠI 50M RA MẶT TIỀN,,,Tân Bình,Hồ Chí Minh,title,consistent,alley_or_lane,success,
124805,https://batdongsan.vn/ban-nha-mt-kd-pham-dang-gian-binh-hung-hoa-b-binh-tan-100m2-sieu-re-chi-65-ty-r124805,"Bình Tân, Hồ Chí Minh","Bán nhà MT KD Phạm Đăng Giản, Bình Hưng Hoà B, Bình Tân, 100m2, siêu rẻ, chỉ 6,5 tỷ.","Bán nhà MT KD Phạm Đăng Giản, Bình Hưng Hoà B, Bình Tân, 100m2, siêu rẻ, chỉ 6,5 tỷ.","Bán nhà MT KD Phạm Đăng Giản, Bình Hưng Hoà B, Bình Tân, 100m2, siêu rẻ, chỉ 6,5 tỷ.",Mt Kd,,Bình Tân,Hồ Chí Minh,title,consistent,street_only,success,
96475,https://batdongsan.vn/hxh-nguyen-xi-3-lau-45x10-61-ty-p13-binh-thanh-r266653,"Bình Thạnh, Hồ Chí Minh","Hxh Nguyễn Xí 3 lầu 4,5x10 6.1 tỷ P13 Bình Thạnh","Hxh Nguyễn Xí 3 lầu 4,5x10 6.1 tỷ P13 Bình Thạnh","Hxh Nguyễn Xí 3 lầu 4,5x10 6.1 tỷ P13 Bình Thạnh",,,Bình Thạnh,Hồ Chí Minh,title,consistent,alley_or_lane,success,
130302,https://batdongsan.vn/ban-sh-nhap-y-2012-sanh-rong-56789-dang-cap-dan-choi-gia-ban-chi-1-ty-0898333313-bao-luan-r130302,"Tân Bình, Hồ Chí Minh","Bán SH nhập Ý 2012 Sảnh Rổng 56789, Đẳng cấp dân chơi giá bán chỉ 1 tỷ, 0898333313 Bảo Luân","Bán SH nhập Ý 2012 Sảnh Rổng 56789, Đẳng cấp dân chơi giá bán chỉ 1 tỷ, 0898333313 Bảo Luân","Bán SH nhập Ý 2012 Sảnh Rổng 56789, Đẳng cấp dân chơi giá bán chỉ 1 tỷ, 0898333313 Bảo Luân",,,Tân Bình,Hồ Chí Minh,title,consistent,unclear,success,
187952,https://batdongsan.vn/nha-dep-khu-vip-bau-cat-truong-chinh-tan-binh-4-tang-btct-chi-89-r187952,"Tân Bình, Hồ Chí Minh","NHÀ ĐẸP KHU VIP BÀU CÁT – TRƯỜNG CHINH, TÂN BÌNH – 4 TẦNG BTCT – CHỈ 8.9","NHÀ ĐẸP KHU VIP BÀU CÁT – TRƯỜNG CHINH, TÂN BÌNH – 4 TẦNG BTCT – CHỈ 8.9","NHÀ ĐẸP KHU VIP BÀU CÁT – TRƯỜNG CHINH, TÂN BÌNH – 4 TẦNG BTCT – CHỈ 8.9",Nhà Đẹp Khu Vip Bàu Cát,,Tân Bình,Hồ Chí Minh,title,consistent,street_only,success,
