area_m2,bedrooms,frontage,price_million_vnd,province,district,distance_to_center_km,log_area,area_sq,log_distance,area_dist_inter
90.0,4.0,0,7600.0,Hải Phòng,Lê Chân,,4.51085950651685,8100.0,1.9300710850255671,530.1
30.0,3.0,0,7000.0,Hà Nội,Long Biên,4.08,3.4339872044851463,900.0,1.6253112615903906,122.4
43.0,3.0,0,12800.0,Hà Nội,Tây Hồ,5.66,3.784189633918261,1849.0,1.8961194845522977,243.38
8.0,10.0,0,26000.0,Hồ Chí Minh,Tân Bình,5.89,2.1972245773362196,64.0,1.9300710850255671,47.12
170.0,4.0,1,6650.0,Hồ Chí Minh,Quận 9,,5.14166355650266,28900.0,1.9300710850255671,1001.3
46.0,5.0,0,17200.0,Hà Nội,Đống Đa,3.27,3.8501476017100584,2116.0,1.451613827240533,150.42
64.0,4.0,0,12000.0,Hà Nội,Tây Hồ,5.66,4.174387269895637,4096.0,1.8961194845522977,362.24
70.0,,0,14700.0,Hồ Chí Minh,Gò Vấp,7.86,4.2626798770413155,4900.0,2.1815467646169897,550.2
24.0,3.0,0,9100.0,Hà Nội,Thanh Xuân,5.88,3.2188758248682006,576.0,1.9286186519452522,141.12
113.0,9.0,0,6500.0,Khánh Hòa,Nha Trang,,4.736198448394496,12769.0,1.9300710850255671,665.5699999999999
60.0,4.0,0,7900.0,Hồ Chí Minh,Thủ Đức,9.91,4.110873864173311,3600.0,2.3896797998449792,594.6
150.0,3.0,0,22990.0,Hồ Chí Minh,Quận 10,3.65,5.017279836814924,22500.0,1.536867219599265,547.5
75.0,4.0,0,10000.0,Hồ Chí Minh,Quận 2,,4.330733340286331,5625.0,1.9300710850255671,441.75
60.0,6.0,0,13500.0,Hà Nội,Hai Bà Trưng,2.31,4.110873864173311,3600.0,1.1969481893889715,138.6
77.0,4.0,0,7950.0,Hồ Chí Minh,Quận 9,,4.356708826689592,5929.0,1.9300710850255671,453.53
42.0,3.0,0,2750.0,Hải Phòng,Hải An,,3.7612001156935624,1764.0,1.9300710850255671,247.38
44.0,4.0,0,5600.0,Hồ Chí Minh,Quận 12,11.96,3.8066624897703196,1936.0,2.561867690924129,526.24
45.0,6.0,0,9000.0,Hà Nội,Hai Bà Trưng,2.31,3.828641396489095,2025.0,1.1969481893889715,103.95
32.0,3.0,0,3900.0,Hồ Chí Minh,Gò Vấp,7.86,3.4965075614664802,1024.0,2.1815467646169897,251.52
17.0,2.0,0,4000.0,Hồ Chí Minh,Phú Nhuận,3.35,2.8903717578961645,289.0,1.4701758451005926,56.95
45.0,4.0,0,8250.0,Hà Nội,Nam Từ Liêm,9.46,3.828641396489095,2025.0,2.347558458636777,425.70000000000005
32.0,2.0,0,4600.0,Hồ Chí Minh,Tân Phú,8.06,3.4965075614664802,1024.0,2.203869120054888,257.92
272.0,5.0,1,6800.0,Vĩnh Long,Vĩnh Long,,5.60947179518496,73984.0,1.9300710850255671,1602.08
61.0,3.0,0,7050.0,Hồ Chí Minh,Thủ Đức,9.91,4.127134385045092,3721.0,2.3896797998449792,604.51
18.0,3.0,0,3850.0,Hồ Chí Minh,Quận 10,3.65,2.9444389791664403,324.0,1.536867219599265,65.7
52.0,3.0,0,2150.0,Hải Phòng,An Dương,,3.970291913552122,2704.0,1.9300710850255671,306.28
44.0,3.0,0,2790.0,Hải Phòng,Lê Chân,,3.8066624897703196,1936.0,1.9300710850255671,259.15999999999997
45.0,3.0,0,11700.0,Hà Nội,Long Biên,4.08,3.828641396489095,2025.0,1.6253112615903906,183.6
53.0,6.0,0,8970.0,Hồ Chí Minh,Quận 10,3.65,3.9889840465642745,2809.0,1.536867219599265,193.45
